# time template
9.838867187500000000e-02 2.001234275685263047e-19
9.863281250000000000e-02 1.993431275025550865e-19
9.887695312500000000e-02 1.984517813308831965e-19
9.912109375000000000e-02 1.974498543902362357e-19
9.936523437500000000e-02 1.963378739317315253e-19
9.960937500000000000e-02 1.951164283236206520e-19
9.985351562500000000e-02 1.937861675685860416e-19
1.000976562500000000e-01 1.923478022381441439e-19
1.003417968750000000e-01 1.908021033376161962e-19
1.005859375000000000e-01 1.891499022086172594e-19
1.008300781250000000e-01 1.873920896500238745e-19
1.010742187500000000e-01 1.855296156495245857e-19
1.013183593750000000e-01 1.835634889509509675e-19
1.015625000000000000e-01 1.814947765208959243e-19
1.018066406250000000e-01 1.793246029411935104e-19
1.020507812500000000e-01 1.770541495653179195e-19
1.022949218750000000e-01 1.746846543385781113e-19
1.025390625000000000e-01 1.722174108392030222e-19
1.027832031250000000e-01 1.696537677605104253e-19
1.030273437500000000e-01 1.669951280208700158e-19
1.032714843750000000e-01 1.642429481214397437e-19
1.035156250000000000e-01 1.613987372328096906e-19
1.037597656250000000e-01 1.584640565718922815e-19
1.040039062500000000e-01 1.554405185234697180e-19
1.042480468750000000e-01 1.523297856805953875e-19
1.044921875000000000e-01 1.491335697700642469e-19
1.047363281250000000e-01 1.458536312132797306e-19
1.049804687500000000e-01 1.424917776897947368e-19
1.052246093750000000e-01 1.390498634836293371e-19
1.054687500000000000e-01 1.355297882482930928e-19
1.057128906250000000e-01 1.319334960221696691e-19
1.059570312500000000e-01 1.282629743171671941e-19
1.062011718750000000e-01 1.245202529042927997e-19
1.064453125000000000e-01 1.207074024940606730e-19
1.066894531250000000e-01 1.168265342397041577e-19
1.069335937500000000e-01 1.128797978104304664e-19
1.071777343750000000e-01 1.088693806025058501e-19
1.074218750000000000e-01 1.047975067342138709e-19
1.076660156250000000e-01 1.006664353634660523e-19
1.079101562500000000e-01 9.647845970170947354e-20
1.081542968750000000e-01 9.223590579749627188e-20
1.083984375000000000e-01 8.794113109785071170e-20
1.086425781250000000e-01 8.359652325598640584e-20
1.088867187500000000e-01 7.920449876615631445e-20
1.091308593750000000e-01 7.476750164357393419e-20
1.093750000000000000e-01 7.028800208860788513e-20
1.096191406250000000e-01 6.576849501836673574e-20
1.098632812500000000e-01 6.121149883838871973e-20
1.101074218750000000e-01 5.661955398151810771e-20
1.103515625000000000e-01 5.199522144419788975e-20
1.105957031250000000e-01 4.734108141942399111e-20
1.108398437500000000e-01 4.265973188511354766e-20
1.110839843750000000e-01 3.795378706181608378e-20
1.113281250000000000e-01 3.322587606146363964e-20
1.115722656250000000e-01 2.847864137042518906e-20
1.118164062500000000e-01 2.371473738667742565e-20
1.120605468750000000e-01 1.893682892220157490e-20
1.123046875000000000e-01 1.414758975606860901e-20
1.125488281250000000e-01 9.349701101638924779e-21
1.127929687500000000e-01 4.545850125632185531e-21
1.130371093750000000e-01 -2.612715595517303868e-22
1.132812500000000000e-01 -5.068969391996783415e-21
1.135253906250000000e-01 -9.874547398717220825e-21
1.137695312500000000e-01 -1.467530967075749898e-20
1.140136718750000000e-01 -1.946856188703274245e-20
1.142578125000000000e-01 -2.425161284928727380e-20
1.145019531250000000e-01 -2.902177596463836393e-20
1.147460937500000000e-01 -3.377637075369453866e-20
1.149902343750000000e-01 -3.851272442090963883e-20
1.152343750000000000e-01 -4.322817322188211111e-20
1.154785156250000000e-01 -4.792006413225613491e-20
1.157226562500000000e-01 -5.258575620380097492e-20
1.159667968750000000e-01 -5.722262215331289918e-20
1.162109375000000000e-01 -6.182804977154727346e-20
1.164550781250000000e-01 -6.639944346763153967e-20
1.166992187500000000e-01 -7.093422563029752648e-20
1.169433593750000000e-01 -7.542983821990959699e-20
1.171875000000000000e-01 -7.988374413324233157e-20
1.174316406250000000e-01 -8.429342858036418495e-20
1.176757812500000000e-01 -8.865640072248444620e-20
1.179199218750000000e-01 -9.297019488248785065e-20
1.181640625000000000e-01 -9.723237200607870725e-20
1.184082031250000000e-01 -1.014405209939515643e-19
1.186523437500000000e-01 -1.055922602440447087e-19
1.188964843750000000e-01 -1.096852388638369921e-19
1.191406250000000000e-01 -1.137171379651681421e-19
1.193847656250000000e-01 -1.176856721292808642e-19
1.196289062500000000e-01 -1.215885905994431371e-19
1.198730468750000000e-01 -1.254236786624280538e-19
1.201171875000000000e-01 -1.291887587512517389e-19
1.203613281250000000e-01 -1.328816919657202456e-19
1.206054687500000000e-01 -1.365003789680800500e-19
1.208496093750000000e-01 -1.400427614989627461e-19
1.210937500000000000e-01 -1.435068231610490453e-19
1.213378906250000000e-01 -1.468905912339603857e-19
1.215820312500000000e-01 -1.501921370508775175e-19
1.218261718750000000e-01 -1.534095775481866853e-19
1.220703125000000000e-01 -1.565410763316976035e-19
1.223144531250000000e-01 -1.595848446787527390e-19
1.225585937500000000e-01 -1.625391424453623422e-19
1.228027343750000000e-01 -1.654022793705772391e-19
1.230468750000000000e-01 -1.681726155963510809e-19
1.232910156250000000e-01 -1.708485631914449070e-19
1.235351562500000000e-01 -1.734285866357468386e-19
1.237792968750000000e-01 -1.759112039507496709e-19
1.240234375000000000e-01 -1.782949873074936752e-19
1.242675781250000000e-01 -1.805785641694745277e-19
1.245117187500000000e-01 -1.827606179275849528e-19
1.247558593750000000e-01 -1.848398886911343553e-19
1.250000000000000000e-01 -1.868151740264636577e-19
1.252441406250000000e-01 -1.886853298360023674e-19
1.254882812500000000e-01 -1.904492706048938975e-19
1.257324218750000000e-01 -1.921059705097111609e-19
1.259765625000000000e-01 -1.936544638062568653e-19
1.262207031250000000e-01 -1.950938454581755630e-19
1.264648437500000000e-01 -1.964232717101964199e-19
1.267089843750000000e-01 -1.976419604081233454e-19
1.269531250000000000e-01 -1.987491916957871510e-19
1.271972656250000000e-01 -1.997443085289227073e-19
1.274414062500000000e-01 -2.006267166749488101e-19
1.276855468750000000e-01 -2.013958855973093018e-19
1.279296875000000000e-01 -2.020513482925339092e-19
1.281738281250000000e-01 -2.025927020645208939e-19
1.284179687500000000e-01 -2.030196083835170436e-19
1.286621093750000000e-01 -2.033317933116717783e-19
1.289062500000000000e-01 -2.035290478754418979e-19
1.291503906250000000e-01 -2.036112275840364644e-19
1.293945312500000000e-01 -2.035782534205053103e-19
1.296386718750000000e-01 -2.034301112724631568e-19
1.298828125000000000e-01 -2.031668519829634622e-19
1.301269531250000000e-01 -2.027885919655066664e-19
1.303710937500000000e-01 -2.022955125562592151e-19
1.306152343750000000e-01 -2.016878601171184491e-19
1.308593750000000000e-01 -2.009659459705362940e-19
1.311035156250000000e-01 -2.001301462301344199e-19
1.313476562500000000e-01 -1.991809018629272584e-19
1.315917968750000000e-01 -1.981187181127822104e-19
1.318359375000000000e-01 -1.969441642835936625e-19
1.320800781250000000e-01 -1.956578737379830322e-19
1.323242187500000000e-01 -1.942605433191778842e-19
1.325683593750000000e-01 -1.927529331170625994e-19
1.328125000000000000e-01 -1.911358660518060913e-19
1.330566406250000000e-01 -1.894102273437469409e-19
1.333007812500000000e-01 -1.875769641733346667e-19
1.335449218750000000e-01 -1.856370851519051442e-19
1.337890625000000000e-01 -1.835916596809830327e-19
1.340332031250000000e-01 -1.814418174954734845e-19
1.342773437500000000e-01 -1.791887481098861474e-19
1.345214843750000000e-01 -1.768336999038840542e-19
1.347656250000000000e-01 -1.743779797933897742e-19
1.350097656250000000e-01 -1.718229522859327842e-19
1.352539062500000000e-01 -1.691700387613145143e-19
1.354980468750000000e-01 -1.664207167796320704e-19
1.357421875000000000e-01 -1.635765193780384452e-19
1.359863281250000000e-01 -1.606390337655407571e-19
1.362304687500000000e-01 -1.576099011426779819e-19
1.364746093750000000e-01 -1.544908152269000706e-19
1.367187500000000000e-01 -1.512835215064302123e-19
1.369628906250000000e-01 -1.479898164058317325e-19
1.372070312500000000e-01 -1.446115460507341046e-19
1.374511718750000000e-01 -1.411506055996948463e-19
1.376953125000000000e-01 -1.376089377725142123e-19
1.379394531250000000e-01 -1.339885320036563588e-19
1.381835937500000000e-01 -1.302914233379523140e-19
1.384277343750000000e-01 -1.265196914066862562e-19
1.386718750000000000e-01 -1.226754588305088633e-19
